"","TF","MEMBERS"
"1091","Misin03G322000.1","'Misin05G120000.1"", 'MisinT362100.1"", 'Misin01G136700.1"", 'Misin01G149200.1"", 'Misin12G220600.1"", 'Misin04G209300.1"""
"1092","Misin03G322400.1","'Misin05G192100.1"", 'Misin10G105400.1"", 'Misin17G223900.1"", 'Misin16G220600.1"", 'Misin09G120700.1"", 'Misin19G018700.1"", 'Misin19G270500.1"", 'Misin12G226600.1"", 'Misin07G469800.1"", 'Misin07G557000.1"""
"1093","Misin03G323000.1","'Misin05G194700.1"", 'Misin05G225100.1"", 'Misin05G338300.1"", 'Misin16G262700.1"", 'Misin08G118700.1"", 'Misin08G196900.1"", 'Misin01G367800.1"", 'MisinT233800.1"", 'Misin19G277800.1"", 'Misin12G022500.1"", 'Misin13G157500.1"""
"1094","Misin03G325100.1","'Misin05G257600.1"", 'Misin05G363100.1"", 'Misin17G190800.1"", 'Misin16G190600.1"", 'Misin08G282300.1"", 'Misin01G125000.1"", 'Misin01G471700.1"", 'MisinT391200.1"", 'Misin06G024300.1"", 'Misin06G055100.1"", 'Misin06G143200.1"", 'Misin06G290400.1"", 'Misin02G096000.1"", 'Misin02G138100.1"", 'Misin02G331600.1"", 'Misin02G461700.1"", 'Misin02G485000.1"", 'Misin11G272200.1"", 'Misin15G140500.1"", 'MisinT146100.1"", 'Misin03G299000.1"", 'Misin18G048200.1"", 'Misin18G149600.1"", 'MisinT472000.1"", 'Misin12G268200.1"", 'Misin04G139500.1"", 'Misin04G342500.1"", 'Misin04G343400.1"", 'Misin07G084100.1"", 'Misin07G222800.1"", 'Misin07G259800.1"", 'Misin07G355100.1"", 'Misin07G374100.1"", 'Misin07G383700.1"", 'Misin07G418500.1"", 'Misin07G437100.1"", 'Misin07G468600.1"", 'Misin07G556200.1"", 'MisinT005600.1"""
"1095","Misin03G328900.1","'Misin05G315900.1"", 'Misin10G009300.1"", 'Misin16G226700.1"", 'MisinT473300.1"", 'Misin01G009600.1"", 'Misin01G405000.1"", 'Misin02G462400.1"", 'MisinT414900.1"", 'Misin04G325600.1"", 'MisinT222100.1"""
"1096","Misin03G329800.1","'Misin05G078000.1"", 'MisinT336600.1"", 'MisinT336700.1"", 'Misin02G287300.1"", 'Misin15G010300.1"", 'Misin15G177500.1"", 'Misin19G224600.1"", 'MisinT486200.1"", 'Misin03G056700.1"", 'Misin03G057400.1"", 'Misin03G320000.1"", 'Misin04G034600.1"", 'Misin04G065200.1"", 'Misin04G392300.1"", 'MisinT318600.1"", 'Misin07G259500.1"", 'Misin07G435500.1"""
"1097","Misin03G329900.1","'Misin05G167600.1"", 'Misin05G251500.1"", 'Misin05G378800.1"", 'Misin17G121900.1"", 'Misin16G033100.1"", 'Misin08G137200.1"", 'Misin08G251800.1"", 'Misin08G252000.1"", 'Misin08G290300.1"", 'Misin01G053400.1"", 'Misin01G218600.1"", 'Misin01G282200.1"", 'MisinT248300.1"", 'Misin02G224200.1"", 'Misin02G264000.1"", 'Misin02G429800.1"", 'Misin02G472400.1"", 'Misin02G511400.1"", 'Misin14G168700.1"", 'Misin09G070900.1"", 'Misin09G122700.1"", 'Misin11G251900.1"", 'Misin19G078400.1"", 'Misin03G030100.1"", 'Misin03G100800.1"", 'Misin03G203800.1"", 'Misin03G235700.1"", 'Misin18G111300.1"", 'Misin18G216300.1"", 'MisinT063200.1"", 'Misin12G136800.1"", 'Misin04G008100.1"", 'Misin04G352700.1"", 'Misin13G043900.1"", 'Misin13G155400.1"""
"1098","Misin03G330700.1","'Misin05G023600.1"", 'Misin05G097200.1"", 'Misin05G130700.1"", 'Misin05G137700.1"", 'Misin05G153100.1"", 'Misin05G220300.1"", 'Misin05G228100.1"", 'Misin10G005200.1"", 'Misin10G014800.1"", 'Misin10G054200.1"", 'Misin10G097800.1"", 'Misin17G057000.1"", 'Misin17G153600.1"", 'Misin17G203900.1"", 'Misin17G211600.1"", 'Misin17G240700.1"", 'MisinT421000.1"", 'Misin16G089900.1"", 'Misin16G173200.1"", 'Misin08G086800.1"", 'Misin08G126000.1"", 'Misin08G145700.1"", 'Misin08G287000.1"", 'Misin08G295500.1"", 'Misin01G043100.1"", 'Misin01G070300.1"", 'Misin01G232500.1"", 'Misin01G308700.1"", 'Misin01G445800.1"", 'MisinT501700.1"", 'Misin06G021500.1"", 'Misin06G053300.1"", 'Misin06G116200.1"", 'Misin06G154500.1"", 'Misin06G190400.1"", 'Misin06G210500.1"", 'Misin06G305600.1"", 'Misin06G337900.1"", 'Misin06G363800.1"", 'Misin02G031800.1"", 'Misin14G080500.1"", 'Misin11G040800.1"", 'Misin11G174600.1"", 'Misin11G192000.1"", 'Misin19G063800.1"", 'Misin19G145600.1"", 'Misin19G212800.1"", 'Misin19G222600.1"", 'MisinT486200.1"", 'Misin03G029900.1"", 'Misin03G330000.1"", 'Misin18G027600.1"", 'Misin18G047600.1"", 'Misin18G116800.1"", 'Misin18G208500.1"", 'Misin12G016800.1"", 'Misin12G049100.1"", 'Misin12G123700.1"", 'Misin12G211600.1"", 'MisinT478500.1"", 'Misin04G225900.1"", 'Misin04G255500.1"", 'Misin04G368500.1"", 'MisinT111000.1"", 'Misin07G036800.1"", 'Misin07G059000.1"", 'Misin07G067200.1"", 'Misin07G314800.1"", 'Misin07G381000.1"", 'Misin07G404400.1"", 'MisinT258200.1"""
"1099","Misin03G333600.1","'Misin05G149200.1"", 'Misin10G141200.1"", 'Misin17G138700.1"", 'Misin17G182900.1"", 'Misin16G012900.1"", 'Misin16G145500.1"", 'Misin16G246700.1"", 'Misin08G111200.1"", 'Misin08G249900.1"", 'Misin08G262000.1"", 'Misin08G307100.1"", 'Misin01G054300.1"", 'Misin01G183800.1"", 'Misin01G228500.1"", 'Misin01G333600.1"", 'Misin02G187800.1"", 'Misin11G041700.1"", 'Misin11G185500.1"", 'Misin11G271200.1"", 'MisinT039900.1"", 'Misin19G177600.1"", 'Misin18G113900.1"", 'Misin12G000400.1"", 'Misin04G022700.1"", 'Misin04G052800.1"", 'Misin13G184400.1"", 'Misin07G098900.1"", 'Misin07G157100.1"", 'Misin07G200800.1"""
"1100","Misin03G333700.1","'Misin08G329400.1"", 'Misin01G027300.1"", 'Misin07G423900.1"""
"1101","Misin03G335800.1","'MisinT174000.1"", 'Misin05G076500.1"", 'Misin05G152500.1"", 'Misin05G334300.1"", 'Misin05G381200.1"", 'Misin05G390200.1"", 'Misin17G020500.1"", 'Misin08G054200.1"", 'Misin08G116300.1"", 'Misin08G166600.1"", 'Misin08G166800.1"", 'Misin08G250000.1"", 'Misin08G255000.1"", 'Misin08G284600.1"", 'Misin01G062100.1"", 'Misin01G211400.1"", 'Misin01G315700.1"", 'Misin01G395400.1"", 'Misin01G429700.1"", 'Misin01G430100.1"", 'Misin01G516700.1"", 'Misin06G061700.1"", 'Misin06G155300.1"", 'Misin06G184800.1"", 'Misin06G238500.1"", 'Misin06G240400.1"", 'Misin06G244600.1"", 'Misin06G266200.1"", 'Misin06G374400.1"", 'Misin02G152600.1"", 'Misin02G311600.1"", 'Misin02G509400.1"", 'Misin14G023400.1"", 'Misin14G041200.1"", 'Misin14G042100.1"", 'MisinT097300.1"", 'Misin09G110800.1"", 'MisinT342700.1"", 'Misin11G247400.1"", 'Misin19G180500.1"", 'MisinT484700.1"", 'Misin03G033500.1"", 'Misin03G102800.1"", 'Misin03G121000.1"", 'Misin03G307200.1"", 'Misin03G315000.1"", 'Misin03G315400.1"", 'Misin03G322600.1"", 'Misin18G044300.1"", 'Misin12G093200.1"", 'Misin04G108900.1"", 'Misin04G153300.1"", 'Misin04G204400.1"", 'Misin04G283100.1"", 'Misin04G338000.1"", 'Misin13G067000.1"", 'Misin13G084200.1"", 'Misin13G156700.1"", 'Misin07G014400.1"", 'Misin07G081200.1"", 'Misin07G184700.1"", 'Misin07G252600.1"", 'Misin07G301900.1"", 'Misin07G381900.1"", 'Misin07G454200.1"""
"1102","Misin03G336000.1","'Misin05G368600.1"", 'Misin10G158000.1"", 'Misin10G164900.1"", 'Misin17G033400.1"", 'Misin17G087300.1"", 'Misin17G204600.1"", 'Misin17G204800.1"", 'Misin16G083200.1"", 'Misin08G191100.1"", 'Misin08G202100.1"", 'Misin08G223000.1"", 'Misin01G156500.1"", 'Misin01G174400.1"", 'Misin06G163100.1"", 'Misin06G184700.1"", 'Misin06G219500.1"", 'Misin06G370800.1"", 'Misin06G376300.1"", 'MisinT135200.1"", 'Misin02G006200.1"", 'Misin02G428100.1"", 'Misin02G444900.1"", 'Misin02G461500.1"", 'Misin02G486500.1"", 'Misin14G075300.1"", 'Misin09G018100.1"", 'Misin11G119000.1"", 'Misin11G273500.1"", 'Misin15G116100.1"", 'Misin19G026800.1"", 'Misin19G121400.1"", 'Misin19G128700.1"", 'Misin19G128900.1"", 'Misin19G158900.1"", 'Misin03G104000.1"", 'Misin03G112700.1"", 'Misin03G131700.1"", 'Misin03G234400.1"", 'Misin03G289400.1"", 'Misin03G360100.1"", 'Misin18G058700.1"", 'Misin18G063600.1"", 'Misin18G106300.1"", 'Misin18G123400.1"", 'Misin18G138500.1"", 'Misin18G196500.1"", 'Misin12G198400.1"", 'Misin12G209000.1"", 'Misin04G050600.1"", 'Misin04G138800.1"", 'Misin04G138900.1"", 'Misin04G263100.1"", 'Misin04G309100.1"", 'Misin04G330300.1"", 'Misin04G397800.1"", 'MisinT359800.1"", 'Misin13G151800.1"", 'MisinT020400.1"", 'Misin07G038400.1"", 'Misin07G270300.1"", 'Misin07G290800.1"", 'Misin07G311800.1"", 'Misin07G422500.1"", 'Misin07G447500.1"", 'Misin07G467100.1"", 'Misin07G497200.1"", 'Misin07G541900.1"""
"1103","Misin03G337000.1","'MisinT308300.1"", 'Misin05G030700.1"", 'Misin05G163000.1"", 'Misin05G267300.1"", 'Misin05G362400.1"", 'Misin10G100800.1"", 'Misin10G164300.1"", 'Misin17G039200.1"", 'Misin17G073800.1"", 'Misin17G096400.1"", 'Misin16G258900.1"", 'Misin08G152800.1"", 'Misin08G237500.1"", 'Misin01G164300.1"", 'Misin01G264200.1"", 'Misin06G067600.1"", 'Misin02G049600.1"", 'Misin02G259800.1"", 'Misin02G320500.1"", 'Misin11G018500.1"", 'Misin15G025400.1"", 'Misin15G046400.1"", 'Misin19G277900.1"", 'Misin03G036900.1"", 'Misin18G132800.1"", 'Misin12G107800.1"", 'Misin12G176000.1"", 'Misin04G326500.1"", 'MisinT232300.1"", 'Misin07G247600.1"", 'Misin07G324900.1"", 'Misin07G375500.1"", 'Misin07G550500.1"""
"1104","Misin03G337100.1","'Misin05G085800.1"", 'Misin05G173100.1"", 'Misin05G221500.1"", 'Misin05G284500.1"", 'Misin05G409000.1"", 'Misin17G004000.1"", 'Misin17G007100.1"", 'Misin17G200400.1"", 'Misin17G215600.1"", 'Misin17G246900.1"", 'Misin16G236600.1"", 'Misin08G316200.1"", 'Misin01G050800.1"", 'Misin01G173000.1"", 'Misin01G447300.1"", 'Misin01G496700.1"", 'Misin06G118700.1"", 'Misin06G157600.1"", 'Misin06G384000.1"", 'Misin02G242400.1"", 'Misin02G442900.1"", 'Misin02G459100.1"", 'Misin09G158200.1"", 'Misin19G030800.1"", 'Misin03G115400.1"", 'Misin03G151700.1"", 'Misin03G264400.1"", 'Misin03G281200.1"", 'Misin03G306300.1"", 'Misin03G310800.1"", 'Misin03G344900.1"", 'Misin12G066900.1"", 'Misin04G000400.1"", 'Misin04G059400.1"", 'Misin04G096800.1"", 'Misin04G101300.1"", 'Misin04G331900.1"", 'Misin07G193800.1"", 'Misin07G212900.1"", 'Misin07G454500.1"""
"1105","Misin03G337600.1","'Misin05G098800.1"", 'Misin05G105200.1"", 'Misin05G206300.1"", 'Misin10G008900.1"", 'Misin10G035000.1"", 'Misin10G043800.1"", 'Misin10G200200.1"", 'Misin17G187900.1"", 'Misin16G142900.1"", 'MisinT308100.1"", 'Misin08G204600.1"", 'Misin08G269800.1"", 'Misin01G014200.1"", 'Misin01G122300.1"", 'Misin01G232900.1"", 'Misin06G169100.1"", 'MisinT412300.1"", 'Misin02G016400.1"", 'Misin02G021200.1"", 'Misin02G042700.1"", 'Misin02G046600.1"", 'Misin02G071200.1"", 'Misin02G071400.1"", 'Misin02G102400.1"", 'Misin02G428200.1"", 'Misin14G061400.1"", 'Misin11G032900.1"", 'Misin11G051500.1"", 'Misin11G206900.1"", 'Misin11G246400.1"", 'MisinT039700.1"", 'MisinT286300.1"", 'Misin19G008400.1"", 'Misin19G016100.1"", 'Misin03G044900.1"", 'Misin03G175500.1"", 'Misin18G029300.1"", 'Misin18G158400.1"", 'Misin18G189400.1"", 'Misin18G222900.1"", 'Misin12G024800.1"", 'Misin04G253300.1"", 'Misin04G319500.1"", 'Misin13G079000.1"", 'Misin13G183000.1"", 'Misin13G193200.1"", 'MisinT524700.1"", 'Misin07G017400.1"", 'Misin07G021300.1"", 'Misin07G129600.1"", 'Misin07G392500.1"", 'Misin07G419900.1"", 'Misin07G467500.1"", 'Misin07G520400.1"""
"1106","Misin03G337900.1","'Misin17G033000.1"", 'Misin17G197600.1"", 'Misin16G176400.1"", 'Misin16G181600.1"", 'Misin08G330100.1"", 'Misin01G207400.1"", 'Misin01G215600.1"", 'Misin01G235300.1"", 'Misin06G000100.1"", 'Misin06G175700.1"", 'Misin06G221100.1"", 'Misin02G050300.1"", 'Misin02G403500.1"", 'Misin02G506000.1"", 'MisinT055700.1"", 'Misin19G092700.1"", 'Misin18G227900.1"", 'Misin04G015900.1"", 'Misin04G045100.1"", 'Misin04G362100.1"""
"1107","Misin03G338900.1","'Misin05G007400.1"", 'Misin05G036500.1"", 'Misin05G205100.1"", 'Misin05G215800.1"", 'Misin05G233200.1"", 'Misin05G317300.1"", 'Misin05G352500.1"", 'Misin05G400100.1"", 'Misin10G124300.1"", 'Misin17G129600.1"", 'Misin16G023600.1"", 'Misin16G044700.1"", 'Misin16G148400.1"", 'Misin16G164000.1"", 'Misin08G044500.1"", 'Misin08G156900.1"", 'Misin08G208300.1"", 'Misin08G230900.1"", 'Misin08G248200.1"", 'Misin08G251500.1"", 'Misin01G038400.1"", 'Misin01G043200.1"", 'Misin01G099900.1"", 'Misin01G182900.1"", 'Misin01G221800.1"", 'Misin01G260400.1"", 'Misin01G286900.1"", 'Misin01G396200.1"", 'Misin01G511600.1"", 'Misin06G023200.1"", 'Misin06G097400.1"", 'Misin06G114600.1"", 'Misin06G119300.1"", 'Misin06G146400.1"", 'Misin06G269200.1"", 'Misin02G027100.1"", 'Misin02G034400.1"", 'Misin02G053200.1"", 'Misin02G205100.1"", 'Misin02G343800.1"", 'Misin02G371900.1"", 'Misin02G373500.1"", 'Misin02G389400.1"", 'Misin02G405800.1"", 'Misin02G477000.1"", 'Misin09G012100.1"", 'Misin09G169700.1"", 'Misin09G173200.1"", 'MisinT153600.1"", 'Misin11G007500.1"", 'Misin11G136100.1"", 'Misin11G143100.1"", 'Misin11G156400.1"", 'Misin11G230100.1"", 'Misin11G256500.1"", 'MisinT415700.1"", 'MisinT055600.1"", 'Misin19G243200.1"", 'Misin19G260800.1"", 'Misin03G063700.1"", 'Misin03G096000.1"", 'Misin03G135400.1"", 'Misin03G148700.1"", 'Misin03G157300.1"", 'Misin03G177100.1"", 'Misin03G253400.1"", 'Misin03G284800.1"", 'Misin18G031900.1"", 'Misin18G041300.1"", 'Misin18G054800.1"", 'Misin18G128100.1"", 'Misin18G276500.1"", 'Misin12G067200.1"", 'Misin12G148400.1"", 'Misin12G175000.1"", 'Misin12G205000.1"", 'Misin12G207600.1"", 'Misin12G244300.1"", 'Misin12G267100.1"", 'Misin04G083300.1"", 'Misin04G196100.1"", 'Misin04G207400.1"", 'Misin04G398500.1"", 'Misin13G046300.1"", 'Misin13G139800.1"", 'MisinT045600.1"", 'MisinT165500.1"", 'Misin07G033700.1"", 'Misin07G046300.1"", 'Misin07G116200.1"", 'Misin07G133400.1"", 'Misin07G299800.1"", 'Misin07G318000.1"", 'Misin07G388100.1"", 'Misin07G480600.1"", 'Misin07G481100.1"", 'MisinT560200.1"", 'MisinT544100.1"""
"1108","Misin03G341000.1","'Misin03G178200.1"""
"1109","Misin03G341100.1","'Misin16G087700.1"", 'Misin08G224000.1"", 'Misin01G315300.1"", 'Misin19G116800.1"", 'MisinT423600.1"", 'Misin04G113000.1"""
"1110","Misin03G342000.1","'MisinT309400.1"", 'MisinT326600.1"", 'Misin05G259500.1"", 'Misin10G097300.1"", 'Misin10G099300.1"", 'Misin10G148100.1"", 'Misin17G171400.1"", 'Misin17G193200.1"", 'Misin17G200400.1"", 'Misin17G250100.1"", 'Misin16G027500.1"", 'Misin16G075300.1"", 'Misin16G156900.1"", 'Misin16G168700.1"", 'Misin16G235100.1"", 'Misin08G158400.1"", 'Misin08G329600.1"", 'Misin01G010100.1"", 'Misin01G039400.1"", 'Misin01G085400.1"", 'Misin01G178800.1"", 'Misin01G286300.1"", 'Misin01G453400.1"", 'Misin01G503500.1"", 'Misin01G515100.1"", 'Misin06G004600.1"", 'Misin06G098800.1"", 'Misin06G258800.1"", 'Misin06G384600.1"", 'Misin02G133900.1"", 'Misin02G158400.1"", 'Misin02G251000.1"", 'Misin02G277800.1"", 'Misin14G038100.1"", 'Misin11G057300.1"", 'Misin11G199500.1"", 'Misin15G018900.1"", 'Misin15G198600.1"", 'Misin19G115900.1"", 'Misin19G127400.1"", 'Misin19G165200.1"", 'Misin19G165300.1"", 'Misin18G055800.1"", 'Misin18G160700.1"", 'Misin18G201500.1"", 'Misin18G260600.1"", 'Misin12G086200.1"", 'Misin12G114200.1"", 'Misin12G201800.1"", 'Misin12G244200.1"", 'Misin12G271100.1"", 'Misin04G000400.1"", 'Misin04G032000.1"", 'Misin04G083200.1"", 'Misin04G105300.1"", 'Misin04G223100.1"", 'Misin04G307600.1"", 'Misin04G327500.1"", 'MisinT451600.1"", 'Misin07G066600.1"", 'Misin07G109100.1"", 'Misin07G109400.1"", 'Misin07G110800.1"", 'Misin07G193200.1"", 'Misin07G212900.1"", 'Misin07G429700.1"", 'Misin07G486400.1"", 'Misin07G503600.1"""
"1111","Misin03G345100.1","'MisinT009100.1"", 'Misin05G043400.1"", 'Misin17G036800.1"", 'Misin17G093100.1"", 'MisinT577400.1"", 'Misin16G163300.1"", 'Misin08G005200.1"", 'Misin08G101800.1"", 'Misin08G115800.1"", 'Misin08G115900.1"", 'Misin08G273000.1"", 'Misin01G142900.1"", 'Misin01G165600.1"", 'Misin02G304800.1"", 'Misin02G482400.1"", 'Misin14G020300.1"", 'Misin09G007200.1"", 'Misin09G051200.1"", 'Misin03G344300.1"", 'Misin04G110700.1"", 'Misin04G366500.1"", 'Misin07G203600.1"""
"1112","Misin03G345300.1","'MisinT280900.1"", 'Misin05G225000.1"", 'Misin05G286700.1"", 'Misin17G084700.1"", 'Misin17G097600.1"", 'Misin17G219900.1"", 'Misin16G086700.1"", 'Misin16G214900.1"", 'Misin08G276400.1"", 'Misin01G291700.1"", 'Misin01G411000.1"", 'Misin06G014900.1"", 'Misin06G111300.1"", 'Misin06G285900.1"", 'Misin06G308500.1"", 'Misin06G316700.1"", 'Misin06G321100.1"", 'Misin02G042000.1"", 'Misin02G254000.1"", 'Misin14G138400.1"", 'Misin14G144800.1"", 'Misin11G112700.1"", 'Misin11G186400.1"", 'MisinT328200.1"", 'Misin15G015500.1"", 'Misin19G224700.1"", 'Misin03G342400.1"", 'MisinT217600.1"", 'Misin18G192600.1"", 'Misin18G270300.1"", 'MisinT584100.1"", 'Misin12G070400.1"", 'Misin04G230200.1"", 'Misin13G084500.1"", 'Misin13G168000.1"", 'Misin07G094900.1"", 'Misin07G106100.1"", 'Misin07G545000.1"""
"1113","Misin03G346800.1","'Misin17G256500.1"", 'Misin16G059900.1"", 'MisinT274300.1"", 'Misin06G116200.1"", 'Misin09G056400.1"", 'Misin11G192000.1"", 'Misin15G192600.1"", 'Misin18G208500.1"", 'Misin04G142000.1"", 'Misin13G200700.1"", 'Misin07G178700.1"", 'Misin07G301500.1"", 'Misin07G317200.1"", 'Misin07G552200.1"""
"1114","Misin03G348100.1","'Misin05G019300.1"", 'Misin10G187000.1"", 'Misin17G264200.1"", 'Misin08G190400.1"", 'Misin08G304800.1"", 'Misin01G094200.1"", 'Misin01G204700.1"", 'Misin02G173200.1"", 'Misin02G447500.1"", 'Misin02G467000.1"", 'Misin02G486600.1"", 'Misin14G043700.1"", 'Misin11G274800.1"", 'Misin15G137900.1"", 'Misin19G247000.1"", 'Misin19G277200.1"", 'Misin12G078300.1"", 'Misin04G005000.1"", 'Misin04G188800.1"", 'Misin04G263500.1"", 'Misin07G239600.1"", 'Misin07G389600.1"""
"1115","Misin03G348200.1","'Misin05G046900.1"", 'Misin17G063400.1"", 'Misin02G227700.1"", 'Misin14G018300.1"", 'Misin09G012500.1"", 'Misin09G073500.1"", 'Misin15G153700.1"", 'Misin19G027100.1"", 'MisinT320600.1"", 'Misin03G021600.1"", 'Misin12G221600.1"", 'Misin04G093000.1"", 'Misin13G052400.1"", 'Misin13G105300.1"", 'Misin13G110900.1"", 'Misin07G069700.1"""
"1116","Misin03G348500.1","'Misin01G381400.1"""
"1117","Misin03G348600.1","'MisinT237300.1"""
"1118","Misin03G348700.1","'Misin05G021500.1"", 'Misin05G111600.1"", 'Misin05G147600.1"", 'Misin05G239700.1"", 'Misin05G337600.1"", 'Misin05G370400.1"", 'Misin05G408500.1"", 'Misin10G010700.1"", 'Misin17G167600.1"", 'Misin17G218600.1"", 'Misin16G061500.1"", 'Misin16G113800.1"", 'Misin16G136600.1"", 'Misin08G022800.1"", 'Misin08G024900.1"", 'Misin01G050100.1"", 'Misin01G110500.1"", 'Misin01G188300.1"", 'Misin01G488000.1"", 'Misin06G007100.1"", 'Misin06G273700.1"", 'Misin06G337700.1"", 'Misin06G409600.1"", 'Misin02G130400.1"", 'Misin02G143200.1"", 'Misin02G345200.1"", 'Misin02G402000.1"", 'Misin14G139500.1"", 'Misin09G045700.1"", 'Misin09G059000.1"", 'Misin09G135100.1"", 'Misin11G251100.1"", 'MisinT370900.1"", 'Misin15G124600.1"", 'Misin15G158400.1"", 'Misin19G149200.1"", 'Misin19G172100.1"", 'Misin19G274300.1"", 'MisinT311400.1"", 'Misin03G134700.1"", 'Misin03G134800.1"", 'Misin03G152600.1"", 'Misin03G183400.1"", 'Misin18G120200.1"", 'Misin18G151800.1"", 'MisinT508300.1"", 'Misin12G218400.1"", 'Misin04G036100.1"", 'Misin04G181500.1"", 'MisinT495400.1"", 'MisinT473000.1"", 'Misin07G117100.1"", 'Misin07G125600.1"", 'Misin07G204500.1"", 'Misin07G387900.1"", 'Misin07G395400.1"", 'Misin07G540300.1"", 'Misin07G547000.1"", 'MisinT004700.1"""
"1119","Misin03G352300.1","'Misin16G115300.1"", 'Misin08G048500.1"", 'Misin09G089200.1"", 'Misin03G003200.1"", 'MisinT217700.1"", 'MisinT001000.1"", 'Misin04G005700.1"""
"1120","Misin03G352400.1","'Misin08G285800.1"", 'Misin01G015700.1"", 'MisinT248700.1"", 'Misin03G030900.1"""
"1121","Misin03G354800.1","'Misin01G215600.1"", 'Misin06G175700.1"", 'Misin02G198500.1"", 'MisinT567500.1"", 'Misin15G056600.1"", 'Misin19G100500.1"", 'Misin03G142200.1"", 'Misin12G106900.1"", 'Misin04G162000.1"", 'Misin07G338100.1"", 'Misin07G402400.1"""
"1122","Misin03G361400.1","'Misin05G010800.1"", 'Misin05G098300.1"", 'Misin05G215700.1"", 'Misin17G007700.1"", 'Misin17G140900.1"", 'Misin16G102300.1"", 'Misin16G198000.1"", 'Misin08G033400.1"", 'Misin08G033500.1"", 'Misin08G236400.1"", 'Misin08G240000.1"", 'Misin08G256700.1"", 'Misin01G024300.1"", 'Misin01G280300.1"", 'Misin01G410200.1"", 'Misin01G517200.1"", 'Misin06G410400.1"", 'Misin02G113400.1"", 'Misin02G115000.1"", 'Misin02G238400.1"", 'Misin02G362600.1"", 'Misin02G431600.1"", 'Misin02G508700.1"", 'MisinT504900.1"", 'Misin14G135000.1"", 'Misin09G142000.1"", 'Misin11G053100.1"", 'Misin11G131500.1"", 'Misin11G174900.1"", 'Misin11G235900.1"", 'MisinT476500.1"", 'Misin15G154900.1"", 'Misin19G233000.1"", 'Misin03G104500.1"", 'Misin03G209200.1"", 'Misin03G308400.1"", 'Misin18G141800.1"", 'Misin18G256400.1"", 'Misin12G056500.1"", 'Misin12G072800.1"", 'Misin12G101000.1"", 'Misin12G217700.1"", 'Misin04G185100.1"", 'Misin04G373200.1"", 'MisinT161300.1"", 'Misin07G034200.1"", 'Misin07G034300.1"", 'Misin07G199400.1"", 'Misin07G442800.1"", 'Misin07G457500.1"""
"1123","Misin03G363900.1","'Misin05G108900.1"", 'Misin10G107500.1"", 'Misin02G353400.1"", 'Misin14G089200.1"", 'MisinT472300.1"", 'Misin11G009500.1"", 'MisinT068200.1"", 'Misin03G303900.1"", 'Misin12G208800.1"", 'Misin12G273300.1"", 'Misin04G263600.1"""
"1124","Misin03G364000.1","'MisinT333600.1"", 'Misin05G139400.1"", 'Misin05G352500.1"", 'Misin10G045000.1"", 'Misin10G104000.1"", 'Misin16G151100.1"", 'Misin16G187100.1"", 'Misin08G115300.1"", 'Misin01G043200.1"", 'Misin01G052200.1"", 'Misin01G166100.1"", 'Misin01G206600.1"", 'Misin01G286900.1"", 'Misin01G309200.1"", 'Misin01G511600.1"", 'Misin06G005900.1"", 'Misin06G116800.1"", 'Misin02G053200.1"", 'Misin02G389400.1"", 'Misin02G487000.1"", 'Misin09G145800.1"", 'MisinT311100.1"", 'Misin15G139100.1"", 'Misin19G208200.1"", 'Misin03G032600.1"", 'Misin03G153500.1"", 'Misin03G163000.1"", 'Misin03G174200.1"", 'Misin03G225500.1"", 'Misin03G227100.1"", 'Misin18G031900.1"", 'Misin12G050600.1"", 'Misin12G113500.1"", 'Misin12G175000.1"", 'Misin04G076200.1"", 'Misin13G139800.1"", 'MisinT298900.1"", 'Misin07G203500.1"", 'Misin07G275700.1"""
"1125","Misin03G364100.1","'"""
"1126","Misin03G364400.1","'MisinT151300.1"", 'Misin05G021100.1"", 'Misin05G132900.1"", 'Misin05G149400.1"", 'Misin10G184400.1"", 'Misin10G190700.1"", 'Misin10G201700.1"", 'Misin08G220100.1"", 'Misin01G090600.1"", 'Misin01G190300.1"", 'Misin01G294500.1"", 'Misin01G401400.1"", 'Misin01G507200.1"", 'MisinT148700.1"", 'Misin06G041900.1"", 'Misin06G150200.1"", 'Misin06G191700.1"", 'Misin02G050800.1"", 'Misin02G105700.1"", 'Misin02G137300.1"", 'Misin02G267600.1"", 'Misin02G515300.1"", 'Misin14G007500.1"", 'Misin11G183200.1"", 'MisinT289200.1"", 'Misin19G117800.1"", 'Misin19G198900.1"", 'Misin03G198100.1"", 'Misin18G214500.1"", 'Misin18G246600.1"", 'Misin12G117000.1"", 'Misin12G248400.1"", 'Misin04G076500.1"", 'Misin04G111200.1"", 'Misin04G258400.1"", 'Misin07G543100.1"""
