"","TF","MEMBERS"
"11","Misin01G014700.1","'Misin05G329300.1"", 'Misin17G079900.1"", 'Misin17G106200.1"", 'Misin16G119600.1"", 'Misin08G103600.1"", 'Misin01G013400.1"", 'Misin01G318100.1"", 'Misin01G359300.1"", 'Misin01G385300.1"", 'Misin01G466700.1"", 'MisinT278600.1"", 'MisinT435100.1"", 'Misin06G115700.1"", 'Misin02G154700.1"", 'Misin02G322700.1"", 'Misin02G377400.1"", 'Misin02G378100.1"", 'Misin02G484200.1"", 'Misin11G131800.1"", 'Misin19G156100.1"", 'MisinT107800.1"", 'Misin03G220300.1"", 'Misin03G264400.1"", 'Misin03G265700.1"", 'Misin03G365100.1"", 'Misin18G066900.1"", 'Misin18G235700.1"", 'Misin12G051700.1"", 'Misin12G137900.1"", 'Misin12G207300.1"", 'Misin04G302300.1"", 'Misin13G170400.1"", 'Misin07G160600.1"", 'Misin07G341400.1"""
"12","Misin01G014900.1","'Misin05G047800.1"", 'Misin05G237200.1"", 'Misin05G299100.1"", 'Misin10G029200.1"", 'Misin10G094000.1"", 'Misin17G097300.1"", 'Misin17G204300.1"", 'MisinT229900.1"", 'Misin16G085300.1"", 'MisinT075400.1"", 'MisinT248600.1"", 'Misin02G009100.1"", 'Misin02G375000.1"", 'Misin02G431500.1"", 'Misin14G087000.1"", 'Misin14G122000.1"", 'Misin09G088300.1"", 'Misin11G070400.1"", 'Misin11G093800.1"", 'Misin11G136200.1"", 'Misin11G194400.1"", 'Misin15G042900.1"", 'Misin15G199200.1"", 'Misin19G048000.1"", 'Misin19G230100.1"", 'Misin03G003300.1"", 'Misin03G096800.1"", 'Misin03G167400.1"", 'Misin18G270200.1"", 'Misin04G119200.1"", 'Misin04G155800.1"", 'Misin04G200200.1"", 'Misin04G231700.1"", 'Misin13G018100.1"", 'Misin13G064700.1"", 'Misin13G089900.1"", 'Misin07G425500.1"""
"13","Misin01G015100.1","'"""
"14","Misin01G015600.1","'MisinT141900.1"", 'Misin05G053100.1"", 'Misin17G120200.1"", 'Misin17G139700.1"", 'Misin17G230300.1"", 'Misin17G241800.1"", 'MisinT564500.1"", 'Misin16G000800.1"", 'Misin08G118800.1"", 'Misin08G119100.1"", 'Misin08G215900.1"", 'Misin01G069400.1"", 'Misin01G095300.1"", 'Misin01G125400.1"", 'Misin01G125500.1"", 'Misin01G148000.1"", 'Misin01G518700.1"", 'Misin06G051600.1"", 'Misin06G106500.1"", 'Misin02G007200.1"", 'Misin02G296200.1"", 'Misin02G307700.1"", 'Misin02G318900.1"", 'Misin02G336200.1"", 'Misin02G363300.1"", 'Misin14G096800.1"", 'Misin09G012900.1"", 'Misin09G132900.1"", 'Misin11G136000.1"", 'Misin11G238300.1"", 'Misin19G056100.1"", 'Misin19G058000.1"", 'Misin19G089400.1"", 'Misin19G134200.1"", 'Misin19G248800.1"", 'Misin19G266600.1"", 'MisinT220100.1"", 'Misin03G061700.1"", 'Misin03G066900.1"", 'Misin03G161200.1"", 'Misin18G149600.1"", 'Misin18G169500.1"", 'Misin12G051800.1"", 'Misin12G209300.1"", 'Misin12G242100.1"", 'Misin12G260400.1"", 'Misin04G074800.1"", 'Misin04G268100.1"", 'Misin04G349700.1"", 'Misin04G362700.1"", 'MisinT451200.1"", 'MisinT564400.1"", 'Misin07G010000.1"", 'Misin07G027100.1"", 'Misin07G099900.1"", 'Misin07G143200.1"", 'Misin07G170800.1"", 'Misin07G262900.1"", 'Misin07G457100.1"""
"15","Misin01G019100.1","'Misin10G020200.1"", 'Misin10G089800.1"", 'MisinT342100.1"", 'Misin17G186700.1"", 'Misin16G034500.1"", 'Misin16G219100.1"", 'MisinT011200.1"", 'Misin09G165900.1"", 'Misin09G205400.1"", 'Misin11G160500.1"", 'MisinT505500.1"", 'MisinT253400.1"", 'Misin19G026400.1"", 'Misin03G237100.1"", 'Misin07G182500.1"", 'Misin07G240300.1"""
"16","Misin01G020100.1","'Misin07G327900.1"""
"17","Misin01G020500.1","'MisinT214400.1"", 'Misin05G264000.1"", 'Misin05G271400.1"", 'Misin05G277900.1"", 'Misin05G287400.1"", 'Misin10G001300.1"", 'Misin10G002900.1"", 'Misin10G016400.1"", 'Misin10G025400.1"", 'Misin10G048000.1"", 'Misin10G060600.1"", 'Misin10G077800.1"", 'Misin10G078300.1"", 'Misin10G103000.1"", 'Misin17G030300.1"", 'Misin17G209300.1"", 'Misin17G227100.1"", 'Misin17G269600.1"", 'MisinT147600.1"", 'Misin16G076000.1"", 'Misin16G249300.1"", 'MisinT088000.1"", 'Misin08G030600.1"", 'Misin08G191600.1"", 'Misin08G203300.1"", 'Misin08G244400.1"", 'Misin08G310300.1"", 'Misin01G004500.1"", 'Misin01G039800.1"", 'Misin01G072900.1"", 'Misin01G105800.1"", 'Misin01G114200.1"", 'Misin01G359500.1"", 'Misin01G399600.1"", 'MisinT142100.1"", 'MisinT529400.1"", 'Misin06G026400.1"", 'Misin06G287600.1"", 'Misin06G355300.1"", 'Misin02G000200.1"", 'Misin02G102200.1"", 'Misin02G213500.1"", 'Misin02G287800.1"", 'Misin02G410800.1"", 'Misin02G443700.1"", 'Misin02G490400.1"", 'Misin02G503600.1"", 'Misin02G508100.1"", 'Misin14G079700.1"", 'Misin14G116900.1"", 'Misin09G027700.1"", 'Misin09G042000.1"", 'Misin09G086800.1"", 'Misin09G121800.1"", 'Misin09G173700.1"", 'Misin09G200300.1"", 'MisinT389200.1"", 'Misin11G077100.1"", 'Misin11G148700.1"", 'Misin11G176700.1"", 'MisinT189400.1"", 'Misin15G128300.1"", 'Misin19G035000.1"", 'Misin19G139600.1"", 'Misin19G201900.1"", 'Misin19G217900.1"", 'Misin03G006300.1"", 'Misin03G021400.1"", 'Misin03G039100.1"", 'Misin03G109400.1"", 'Misin12G006000.1"", 'Misin12G006100.1"", 'Misin12G006200.1"", 'Misin12G018400.1"", 'MisinT519200.1"", 'MisinT154600.1"", 'Misin07G224100.1"", 'Misin07G291200.1"", 'Misin07G320300.1"", 'Misin07G325900.1"", 'Misin07G339800.1"", 'Misin07G365600.1"", 'Misin07G365700.1"", 'Misin07G371100.1"", 'Misin07G375800.1"", 'Misin07G464800.1"""
"18","Misin01G025400.1","'Misin05G216700.1"", 'Misin05G241000.1"", 'Misin16G204600.1"", 'Misin16G231700.1"", 'Misin08G152600.1"", 'Misin08G226700.1"", 'Misin06G009900.1"", 'Misin02G020400.1"", 'Misin02G020500.1"", 'Misin11G088100.1"", 'Misin19G220000.1"", 'Misin03G193300.1"", 'Misin18G004400.1"", 'Misin12G143500.1"", 'Misin13G050400.1"", 'Misin07G019500.1"""
"19","Misin01G026100.1","'Misin05G039400.1"", 'Misin05G281100.1"", 'Misin05G385400.1"", 'Misin17G256300.1"", 'Misin16G223800.1"", 'Misin02G027200.1"", 'Misin02G116700.1"", 'Misin14G103400.1"", 'Misin15G156000.1"", 'Misin03G285100.1"", 'Misin12G171600.1"", 'Misin04G182000.1"""
"20","Misin01G026200.1","'Misin08G172400.1"", 'Misin06G122900.1"", 'Misin06G249500.1"", 'Misin02G396400.1"", 'Misin12G276400.1"", 'Misin04G276100.1"", 'Misin04G396000.1"", 'Misin13G185100.1"", 'Misin07G151900.1"", 'Misin07G317500.1"", 'Misin07G527100.1"""
