"Misin01G001000.1"
"Misin01G003300.1"
"Misin01G014900.1"
"Misin01G019100.1"
"Misin01G020100.1"
"Misin01G020500.1"
"Misin01G031700.1"
"Misin01G034100.1"
"Misin01G034200.1"
"Misin01G036800.1"
"Misin01G038100.1"
"Misin01G048700.1"
"Misin01G049500.1"
"Misin01G052200.1"
"Misin01G054900.1"
"Misin01G063100.1"
"Misin01G068500.1"
"Misin01G069500.1"
"Misin01G076100.1"
"Misin01G077400.1"
"Misin01G080700.1"
"Misin01G089200.1"
"Misin01G093800.1"
"Misin01G096600.1"
"Misin01G101100.1"
"Misin01G103000.1"
"Misin01G107300.1"
"Misin01G108500.1"
"Misin01G118000.1"
"Misin01G124800.1"
"Misin01G128600.1"
"Misin01G128800.1"
"Misin01G140700.1"
"Misin01G144600.1"
"Misin01G147000.1"
"Misin01G147300.1"
"Misin01G148700.1"
"Misin01G149800.1"
"Misin01G150000.1"
"Misin01G150200.1"
"Misin01G150400.1"
"Misin01G157500.1"
"Misin01G157900.1"
"Misin01G161800.1"
"Misin01G184900.1"
"Misin01G201400.1"
"Misin01G202700.1"
"Misin01G214100.1"
"Misin01G214600.1"
"Misin01G218200.1"
"Misin01G221800.1"
"Misin01G229500.1"
"Misin01G239200.1"
"Misin01G248600.1"
"Misin01G249500.1"
"Misin01G262000.1"
"Misin01G277000.1"
"Misin01G277900.1"
"Misin01G281700.1"
"Misin01G283300.1"
"Misin01G296700.1"
"Misin01G299600.1"
"Misin01G310400.1"
"Misin01G320800.1"
"Misin01G325100.1"
"Misin01G328300.1"
"Misin01G329200.1"
"Misin01G339200.1"
"Misin01G340500.1"
"Misin01G342400.1"
"Misin01G342500.1"
"Misin01G357100.1"
"Misin01G357300.1"
"Misin01G357900.1"
"Misin01G362000.1"
"Misin01G362400.1"
"Misin01G363800.1"
"Misin01G364500.1"
"Misin01G367700.1"
"Misin01G367800.1"
"Misin01G370500.1"
"Misin01G373800.1"
"Misin01G386000.1"
"Misin01G395000.1"
"Misin01G398900.1"
"Misin01G403800.1"
"Misin01G404900.1"
"Misin01G406900.1"
"Misin01G410200.1"
"Misin01G415100.1"
"Misin01G426700.1"
"Misin01G426900.1"
"Misin01G430300.1"
"Misin01G431000.1"
"Misin01G448800.1"
"Misin01G452600.1"
"Misin01G453400.1"
"Misin01G471000.1"
"Misin01G473100.1"
"Misin01G475200.1"
"Misin01G476500.1"
"Misin01G486300.1"
"Misin01G491200.1"
"Misin01G492400.1"
"Misin01G495500.1"
"Misin01G495600.1"
"Misin01G501300.1"
"Misin01G504300.1"
"Misin01G504400.1"
"Misin01G506400.1"
"Misin01G509100.1"
"Misin01G516200.1"
"Misin02G001900.1"
"Misin02G007100.1"
"Misin02G009300.1"
"Misin02G011100.1"
"Misin02G018800.1"
"Misin02G022300.1"
"Misin02G023500.1"
"Misin02G026900.1"
"Misin02G027800.1"
"Misin02G033400.1"
"Misin02G036000.1"
"Misin02G040200.1"
"Misin02G046600.1"
"Misin02G047000.1"
"Misin02G052900.1"
"Misin02G056700.1"
"Misin02G064300.1"
"Misin02G066600.1"
"Misin02G072000.1"
